Date,Open,High,Low,Close,Adj Close,Volume
2017-10-02,251.490005,252.320007,251.289993,252.320007,238.358368,59023000
2017-10-03,252.320007,252.889999,252.229996,252.860001,238.868469,66810200
2017-10-04,252.690002,253.440002,252.559998,253.160004,239.151901,55953600
2017-10-05,253.539993,254.679993,253.199997,254.660004,240.568893,63522800
2017-10-06,254.149994,254.699997,253.850006,254.369995,240.294952,80646000
2017-10-09,254.630005,254.699997,253.649994,253.949997,239.898193,35803100
2017-10-10,254.600006,255.050003,253.979996,254.619995,240.531113,43057400
2017-10-11,254.509995,255.020004,254.320007,255.020004,240.908981,47674300
2017-10-12,254.660004,255.059998,254.369995,254.639999,240.550003,47065100
2017-10-13,255.139999,255.270004,254.639999,254.949997,240.842850,54800400
2017-10-16,255.210007,255.509995,254.820007,255.289993,241.164063,38221700
2017-10-17,255.229996,255.520004,254.979996,255.470001,241.334076,31561000
2017-10-18,255.899994,255.949997,255.500000,255.720001,241.570236,40888300
2017-10-19,254.830002,255.830002,254.350006,255.789993,241.636383,61903800
2017-10-20,256.700012,257.140015,255.770004,257.109985,242.883347,89176400
2017-10-23,257.480011,257.510010,256.019989,256.109985,241.938660,63915300
2017-10-24,256.600006,256.829987,256.149994,256.559998,242.363754,66935900
2017-10-25,256.179993,256.309998,254.000000,255.289993,241.164063,103715300
2017-10-26,255.990005,256.299988,255.479996,255.619995,241.475769,69798000
2017-10-27,256.470001,257.890015,255.630005,257.709991,243.450104,85562500
2017-10-30,256.470001,257.600006,256.410004,256.750000,242.543259,54285700
2017-10-31,257.179993,257.440002,256.809998,257.149994,242.921097,60304800
2017-11-01,258.040009,258.429993,257.070007,257.489990,243.242294,54202700
2017-11-02,257.410004,257.750000,256.190002,257.589996,243.336792,56449500
2017-11-03,257.769989,258.500000,257.299988,258.450012,244.149200,59589700
2017-11-06,258.299988,259.000000,258.220001,258.850006,244.527023,49652600
2017-11-07,258.970001,259.350006,258.089996,258.670013,244.357025,57502200
2017-11-08,258.470001,259.220001,258.149994,259.109985,244.772629,50469600
2017-11-09,257.730011,258.390015,256.359985,258.170013,243.884689,95085500
2017-11-10,257.730011,258.290009,257.369995,258.089996,243.809067,59984700
2017-11-13,257.309998,258.589996,257.269989,258.329987,244.035828,50228600
2017-11-14,257.410004,257.850006,256.519989,257.730011,243.469040,61315200
2017-11-15,256.619995,257.220001,255.630005,256.440002,242.250412,80811500
2017-11-16,257.519989,259.040009,257.470001,258.619995,244.309753,67777000
2017-11-17,258.220001,258.589996,257.769989,257.859985,243.591797,75756800
2017-11-20,258.140015,258.519989,257.859985,258.299988,244.007462,48075500
2017-11-21,259.179993,260.200012,258.260010,259.989990,245.603943,69176800
2017-11-22,260.000000,260.149994,259.570007,259.760010,245.386703,45033400
2017-11-24,260.320007,260.480011,260.160004,260.359985,245.953445,27856500
2017-11-27,260.410004,260.750000,260.000000,260.230011,245.830704,52274900
2017-11-28,260.760010,262.899994,260.649994,262.869995,248.324600,98971700
2017-11-29,263.019989,263.630005,262.200012,262.709991,248.173416,77512100
2017-11-30,263.760010,266.049988,263.670013,265.010010,250.346207,127894400
2017-12-01,264.760010,265.309998,260.760010,264.459991,249.826630,164390900
2017-12-04,266.309998,266.799988,264.079987,264.140015,249.524307,94040600
2017-12-05,263.190002,265.149994,263.040009,263.190002,248.626892,77994500
2017-12-06,263.299988,263.730011,262.709991,263.239990,248.674118,75898600
2017-12-07,264.070007,264.429993,262.940002,264.070007,249.458191,77218600
2017-12-08,265.160004,265.519989,264.029999,265.510010,250.818558,76563900
2017-12-11,266.309998,266.380005,265.480011,266.309998,251.574234,83077500
2017-12-12,267.209991,267.320007,266.350006,266.779999,252.018219,85195800
2017-12-13,267.059998,267.559998,266.649994,266.750000,251.989929,102905400
2017-12-14,267.089996,267.220001,265.600006,265.660004,250.960236,100666700
2017-12-15,265.450012,267.040009,265.390015,266.510010,253.050079,144610300
2017-12-18,268.100006,268.600006,267.980011,268.200012,254.654739,83653600
2017-12-19,268.480011,268.529999,267.089996,267.170013,253.676743,82382900
2017-12-20,268.269989,268.329987,266.690002,267.029999,253.543839,76751500
2017-12-21,267.739990,268.390015,267.299988,267.579987,254.066055,67032300
2017-12-22,267.600006,267.640015,266.899994,267.510010,253.999603,78720900
2017-12-26,267.049988,267.440002,266.890015,267.190002,253.695724,45244400
2017-12-27,267.380005,267.730011,267.010010,267.320007,253.819168,57751000
2017-12-28,267.890015,267.920013,267.450012,267.869995,254.341400,45116100
2017-12-29,268.529999,268.549988,266.640015,266.859985,253.382401,96007400
2018-01-02,267.839996,268.809998,267.399994,268.769989,255.195923,86655700
2018-01-03,268.959991,270.640015,268.959991,270.470001,256.810028,90070400
2018-01-04,271.200012,272.160004,270.540009,271.609985,257.892456,80636400
2018-01-05,272.510010,273.559998,271.950012,273.420013,259.611115,83524000
2018-01-08,273.309998,274.100006,272.980011,273.920013,260.085846,57319200
2018-01-09,274.399994,275.250000,274.079987,274.540009,260.674530,57254000
2018-01-10,273.679993,274.420013,272.920013,274.119995,260.275726,69574300
2018-01-11,274.750000,276.119995,274.559998,276.119995,262.174683,62361500
2018-01-12,276.420013,278.109985,276.079987,277.920013,263.883820,90816100
2018-01-16,279.350006,280.089996,276.179993,276.970001,262.981812,106555100
2018-01-17,278.029999,280.049988,276.970001,279.609985,265.488434,113258800
2018-01-18,279.480011,279.959991,278.579987,279.140015,265.042236,100728000
2018-01-19,279.799988,280.410004,279.140015,280.410004,266.248047,140920100
2018-01-22,280.170013,282.690002,280.109985,282.690002,268.412872,91322400
2018-01-23,282.739990,283.619995,282.369995,283.290009,268.982666,97084700
2018-01-24,284.019989,284.700012,281.839996,283.179993,268.878113,134816100
